,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,device,trainset
0,1,1,0.573349558,0.78025,7.235369205,7.342892647,0.01,100,0,cuda,not_normal
1,2,1,0.559028814,0.7862,7.063075542,7.164572954,0.01,100,1,cuda,not_normal
2,3,1,0.527911583,0.80015,7.054767132,7.169074059,0.01,100,2,cuda,not_normal
3,4,1,0.551110327,0.79055,7.136595249,7.23637867,0.01,100,4,cuda,not_normal
4,5,1,0.549015122,0.794483333,7.075133562,7.187950373,0.01,100,8,cuda,not_normal
5,6,1,0.63249266,0.757266667,7.021162271,7.123927116,0.01,100,16,cuda,not_normal
