,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,device,trainset
0,1,1,0.988323602,0.618966667,12.80472898,13.34249949,0.01,1000,0,cpu,not_normal
1,2,1,1.071556226,0.5791,12.68953562,13.24605131,0.01,1000,1,cpu,not_normal
2,3,1,1.10330461,0.57575,12.44652534,13.01098847,0.01,1000,2,cpu,not_normal
3,4,1,0.902487508,0.64915,12.65260792,13.18001223,0.01,1000,4,cpu,not_normal
4,5,1,1.07284962,0.595983333,12.46128082,12.98588347,0.01,1000,8,cpu,not_normal
5,6,1,0.993195258,0.62045,12.40999556,12.94062972,0.01,1000,16,cpu,not_normal
