,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,device,trainset
0,1,1,0.5719723549981912,0.7845666666666666,13.622636318206787,13.724265336990356,0.01,100,0,cpu,normal
1,2,1,0.5998732505242029,0.76995,13.429279088973999,13.537517309188843,0.01,100,1,cpu,normal
2,3,1,0.5619685107966265,0.7885166666666666,13.51548719406128,13.637469053268433,0.01,100,2,cpu,normal
3,4,1,0.5440682046363751,0.79665,13.382801532745361,13.490498781204224,0.01,100,4,cpu,normal
4,5,1,0.5828164880226055,0.7808,13.296615362167358,13.406481981277466,0.01,100,8,cpu,normal
5,6,1,0.6064323602616787,0.7681166666666667,13.37968921661377,13.48246693611145,0.01,100,16,cpu,normal
