,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,device,trainset
0,1,1,0.959043731,0.639316667,12.19475198,12.71028161,0.01,1000,0,cpu,normal
1,2,1,1.007592208,0.615366667,12.15691686,12.67718506,0.01,1000,1,cpu,normal
2,3,1,0.976155499,0.629866667,12.84387922,13.37644792,0.01,1000,2,cpu,normal
3,4,1,1.00742984,0.61155,12.64742875,13.18579364,0.01,1000,4,cpu,normal
4,5,1,0.944979318,0.641233333,12.42330217,12.94798636,0.01,1000,8,cpu,normal
5,6,1,1.014040406,0.6024,12.3508687,12.87089491,0.01,1000,16,cpu,normal
