,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,device,trainset
0,1,1,0.565931998,0.7874,15.37575078,15.47964478,0.01,100,0,cpu,not_normal
1,2,1,0.56684536,0.789,14.99423265,15.09969425,0.01,100,1,cpu,not_normal
2,3,1,0.55560889,0.790566667,13.93007398,14.04800463,0.01,100,2,cpu,not_normal
3,4,1,0.568759145,0.785916667,13.19437671,13.3041327,0.01,100,4,cpu,not_normal
4,5,1,0.568032608,0.783116667,13.31004429,13.41463256,0.01,100,8,cpu,not_normal
5,6,1,0.563716508,0.788733333,13.62996316,13.74081111,0.01,100,16,cpu,not_normal
