,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,device,trainset
0,1,1,0.5945836945374807,0.7724666666666666,7.337501287460327,7.454056978225708,0.01,100,0,cuda,normal
1,2,1,0.5602394259472688,0.78745,7.107458591461182,7.206882476806641,0.01,100,1,cuda,normal
2,3,1,0.5348576629410188,0.79795,7.278196334838867,7.390835523605347,0.01,100,2,cuda,normal
3,4,1,0.5980266531805197,0.7723166666666667,7.114133596420288,7.222350120544434,0.01,100,4,cuda,normal
4,5,1,0.5673569582899411,0.7841166666666667,7.244015216827393,7.354699611663818,0.01,100,8,cuda,normal
5,6,1,0.580550346026818,0.7803666666666667,7.1865410804748535,7.294943809509277,0.01,100,16,cuda,normal
