,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,device,trainset
0,1,1,0.990273983279864,0.61175,5.658462762832642,6.172196865081787,0.01,1000,0,cuda,normal
1,2,1,1.0663365344206492,0.5810333333333333,5.728569269180298,6.2529497146606445,0.01,1000,1,cuda,normal
2,3,1,0.9901787072420121,0.62965,5.6689252853393555,6.403919219970703,0.01,1000,2,cuda,normal
3,4,1,1.0665133267641067,0.5919666666666666,5.641942739486694,6.194072484970093,0.01,1000,4,cuda,normal
4,5,1,1.1022855033477148,0.5726,5.622892141342163,6.160527944564819,0.01,1000,8,cuda,normal
5,6,1,1.0436514228582383,0.6015833333333334,5.592644691467285,6.141498327255249,0.01,1000,16,cuda,normal
